Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
3.399370036125183105e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.506000000000000227e+01,2.901999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.409281313419342041e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.479999999999999716e+01,2.905000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.419187247753143311e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.474000000000000199e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.429093942642211914e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.440999999999999659e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.439001288414001465e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.432000000000000028e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.448909604549407959e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.409000000000000341e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.458817818164825439e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.396000000000000085e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.468732900619506836e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.377000000000000313e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.478646495342254639e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.347999999999999687e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.488557562828063965e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.345000000000000284e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.498471512794494629e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.313000000000000256e+01,2.933999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.508381662368774414e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.313000000000000256e+01,2.944000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.518288114070892334e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.279999999999999716e+01,2.950000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.528198578357696533e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.279999999999999716e+01,2.957000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.538112664222717285e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.247999999999999687e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.548013291358947754e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.218999999999999773e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.557928638458251953e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.215999999999999659e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.567834560871124268e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.189999999999999858e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.577747800350189209e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.179999999999999716e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
